Codebook Index Counts:
----------------------
Index 0: 9
Index 1: 112
Index 2: 46
Index 3: 0
Index 4: 7985
Index 5: 4116
Index 6: 3422
Index 7: 138
Index 8: 228
Index 9: 780
Index 10: 407
Index 11: 0
Index 12: 27170
Index 13: 13392
Index 14: 94
Index 15: 1682
Index 16: 3375
Index 17: 363
Index 18: 15844
Index 19: 1662
Index 20: 2145
Index 21: 111
Index 22: 209
Index 23: 4708
Index 24: 745
Index 25: 3361
Index 26: 3
Index 27: 5056
Index 28: 0
Index 29: 1711
Index 30: 37855
Index 31: 123
Index 32: 4
Index 33: 88
Index 34: 6873
Index 35: 33024
Index 36: 6502
Index 37: 16755
Index 38: 497
Index 39: 33
Index 40: 884
Index 41: 25
Index 42: 0
Index 43: 35
Index 44: 0
Index 45: 5091
Index 46: 2861
Index 47: 2
Index 48: 26
Index 49: 24
Index 50: 351
Index 51: 2551
Index 52: 0
Index 53: 1186
Index 54: 988
Index 55: 67
Index 56: 3439
Index 57: 102
Index 58: 0
Index 59: 3780
Index 60: 1
Index 61: 0
Index 62: 136
Index 63: 3975
Index 64: 0
Index 65: 183
Index 66: 5317
Index 67: 19784
Index 68: 726
Index 69: 513
Index 70: 3392
Index 71: 114
Index 72: 1111
Index 73: 799
Index 74: 4829
Index 75: 6286
Index 76: 949
Index 77: 4143
Index 78: 3891
Index 79: 1562
Index 80: 590
Index 81: 2094
Index 82: 0
Index 83: 44239
Index 84: 4009
Index 85: 398
Index 86: 9140
Index 87: 192
Index 88: 1868
Index 89: 10691
Index 90: 3866
Index 91: 829
Index 92: 184
Index 93: 3654
Index 94: 2268
Index 95: 1098
Index 96: 18687
Index 97: 276
Index 98: 29102
Index 99: 3406
Index 100: 115
Index 101: 6025
Index 102: 0
Index 103: 2841
Index 104: 3481
Index 105: 1079
Index 106: 1052
Index 107: 6921
Index 108: 391
Index 109: 5154
Index 110: 56
Index 111: 395
Index 112: 243
Index 113: 1412
Index 114: 2156
Index 115: 265
Index 116: 10995
Index 117: 4810
Index 118: 12
Index 119: 10506
Index 120: 1096
Index 121: 2184
Index 122: 277
Index 123: 2130
Index 124: 1052
Index 125: 7252
Index 126: 16177
Index 127: 397
Index 128: 7574
Index 129: 76
Index 130: 346
Index 131: 31
Index 132: 7288
Index 133: 2
Index 134: 116
Index 135: 1
Index 136: 2937
Index 137: 20095
Index 138: 584
Index 139: 172
Index 140: 17419
Index 141: 11380
Index 142: 24172
Index 143: 180
Index 144: 2
Index 145: 86
Index 146: 23
Index 147: 1422
Index 148: 0
Index 149: 3278
Index 150: 0
Index 151: 332
Index 152: 6795
Index 153: 117
Index 154: 113
Index 155: 217
Index 156: 2174
Index 157: 2623
Index 158: 8413
Index 159: 432
Index 160: 0
Index 161: 4636
Index 162: 2612
Index 163: 26025
Index 164: 132
Index 165: 10381
Index 166: 4531
Index 167: 0
Index 168: 703
Index 169: 0
Index 170: 380
Index 171: 957
Index 172: 14805
Index 173: 200
Index 174: 9975
Index 175: 256
Index 176: 1147
Index 177: 2153
Index 178: 255
Index 179: 557
Index 180: 117
Index 181: 421
Index 182: 11094
Index 183: 109
Index 184: 20324
Index 185: 785
Index 186: 14
Index 187: 2439
Index 188: 723
Index 189: 517
Index 190: 121
Index 191: 1
Index 192: 701
Index 193: 2447
Index 194: 0
Index 195: 1170
Index 196: 3
Index 197: 0
Index 198: 0
Index 199: 47
Index 200: 650
Index 201: 10629
Index 202: 20824
Index 203: 4396
Index 204: 0
Index 205: 7704
Index 206: 7644
Index 207: 14
Index 208: 2549
Index 209: 958
Index 210: 2807
Index 211: 0
Index 212: 51
Index 213: 668
Index 214: 606
Index 215: 596
Index 216: 1765
Index 217: 48225
Index 218: 36796
Index 219: 10270
Index 220: 1
Index 221: 303
Index 222: 345
Index 223: 0
Index 224: 3553
Index 225: 5871
Index 226: 315
Index 227: 105
Index 228: 1
Index 229: 23
Index 230: 657
Index 231: 4457
Index 232: 3541
Index 233: 112
Index 234: 4593
Index 235: 10670
Index 236: 18
Index 237: 9955
Index 238: 2466
Index 239: 5729
Index 240: 28194
Index 241: 1552
Index 242: 1098
Index 243: 0
Index 244: 723
Index 245: 0
Index 246: 100
Index 247: 3275
Index 248: 594
Index 249: 726
Index 250: 10848
Index 251: 5740
Index 252: 5508
Index 253: 6545
Index 254: 17754
Index 255: 14176
Index 256: 6
Index 257: 10475
Index 258: 130
Index 259: 15100
Index 260: 14628
Index 261: 6724
Index 262: 4361
Index 263: 11691
Index 264: 1251
Index 265: 6158
Index 266: 411
Index 267: 0
Index 268: 7198
Index 269: 0
Index 270: 1203
Index 271: 73
Index 272: 8940
Index 273: 68
Index 274: 21
Index 275: 0
Index 276: 896
Index 277: 1893
Index 278: 5011
Index 279: 5
Index 280: 3
Index 281: 152
Index 282: 1627
Index 283: 9227
Index 284: 694
Index 285: 5
Index 286: 461
Index 287: 119
Index 288: 52
Index 289: 50
Index 290: 1345
Index 291: 11955
Index 292: 47
Index 293: 192
Index 294: 282
Index 295: 11535
Index 296: 2280
Index 297: 764
Index 298: 0
Index 299: 4014
Index 300: 1169
Index 301: 12
Index 302: 3383
Index 303: 397
Index 304: 2590
Index 305: 2
Index 306: 1175
Index 307: 131
Index 308: 0
Index 309: 705
Index 310: 1
Index 311: 1336
