Codebook Index Counts:
----------------------
Index 0: 73
Index 1: 239
Index 2: 42
Index 3: 17
Index 4: 6511
Index 5: 1813
Index 6: 1890
Index 7: 288
Index 8: 715
Index 9: 1102
Index 10: 1702
Index 11: 0
Index 12: 38477
Index 13: 23676
Index 14: 35
Index 15: 2085
Index 16: 2620
Index 17: 403
Index 18: 3778
Index 19: 850
Index 20: 2187
Index 21: 344
Index 22: 308
Index 23: 2657
Index 24: 1457
Index 25: 4020
Index 26: 2
Index 27: 1750
Index 28: 10
Index 29: 1866
Index 30: 8351
Index 31: 185
Index 32: 10
Index 33: 77
Index 34: 2630
Index 35: 8392
Index 36: 7174
Index 37: 3001
Index 38: 313
Index 39: 82
Index 40: 1806
Index 41: 17
Index 42: 46
Index 43: 28
Index 44: 0
Index 45: 4936
Index 46: 1296
Index 47: 0
Index 48: 36
Index 49: 47
Index 50: 83
Index 51: 1800
Index 52: 0
Index 53: 844
Index 54: 798
Index 55: 162
Index 56: 3251
Index 57: 90
Index 58: 122
Index 59: 1339
Index 60: 25
Index 61: 0
Index 62: 659
Index 63: 4602
Index 64: 17
Index 65: 128
Index 66: 2165
Index 67: 12414
Index 68: 939
Index 69: 1504
Index 70: 3255
Index 71: 141
Index 72: 483
Index 73: 1038
Index 74: 2045
Index 75: 13774
Index 76: 1152
Index 77: 3337
Index 78: 2771
Index 79: 2663
Index 80: 5343
Index 81: 1604
Index 82: 1
Index 83: 87218
Index 84: 3967
Index 85: 760
Index 86: 15041
Index 87: 208
Index 88: 2078
Index 89: 15867
Index 90: 2816
Index 91: 988
Index 92: 209
Index 93: 1254
Index 94: 2379
Index 95: 863
Index 96: 4432
Index 97: 260
Index 98: 7327
Index 99: 2374
Index 100: 215
Index 101: 4825
Index 102: 1
Index 103: 1496
Index 104: 4256
Index 105: 617
Index 106: 1929
Index 107: 1377
Index 108: 545
Index 109: 2099
Index 110: 116
Index 111: 1562
Index 112: 368
Index 113: 1602
Index 114: 2704
Index 115: 319
Index 116: 9399
Index 117: 1912
Index 118: 43
Index 119: 7642
Index 120: 558
Index 121: 3476
Index 122: 2070
Index 123: 1429
Index 124: 1408
Index 125: 8135
Index 126: 8200
Index 127: 763
Index 128: 5946
Index 129: 480
Index 130: 283
Index 131: 81
Index 132: 2362
Index 133: 11
Index 134: 191
Index 135: 11
Index 136: 2412
Index 137: 4892
Index 138: 546
Index 139: 61
Index 140: 4465
Index 141: 9258
Index 142: 3758
Index 143: 602
Index 144: 16
Index 145: 434
Index 146: 46
Index 147: 1521
Index 148: 0
Index 149: 4225
Index 150: 5
Index 151: 486
Index 152: 5656
Index 153: 156
Index 154: 197
Index 155: 146
Index 156: 2660
Index 157: 2938
Index 158: 4390
Index 159: 349
Index 160: 0
Index 161: 1510
Index 162: 2020
Index 163: 6695
Index 164: 89
Index 165: 5211
Index 166: 7528
Index 167: 1
Index 168: 919
Index 169: 4
Index 170: 127
Index 171: 1074
Index 172: 5339
Index 173: 211
Index 174: 4470
Index 175: 526
Index 176: 1483
Index 177: 1884
Index 178: 200
Index 179: 898
Index 180: 253
Index 181: 59
Index 182: 8184
Index 183: 92
Index 184: 10538
Index 185: 964
Index 186: 38
Index 187: 4216
Index 188: 196
Index 189: 813
Index 190: 233
Index 191: 13
Index 192: 687
Index 193: 2954
Index 194: 0
Index 195: 191
Index 196: 72
Index 197: 0
Index 198: 0
Index 199: 83
Index 200: 1247
Index 201: 7033
Index 202: 9805
Index 203: 2086
Index 204: 5
Index 205: 4195
Index 206: 2317
Index 207: 138
Index 208: 1884
Index 209: 702
Index 210: 1129
Index 211: 56
Index 212: 85
Index 213: 304
Index 214: 123
Index 215: 645
Index 216: 2759
Index 217: 38177
Index 218: 19643
Index 219: 7292
Index 220: 9
Index 221: 556
Index 222: 395
Index 223: 4
Index 224: 3257
Index 225: 21361
Index 226: 626
Index 227: 114
Index 228: 33
Index 229: 73
Index 230: 3252
Index 231: 3027
Index 232: 4559
Index 233: 23
Index 234: 4972
Index 235: 3536
Index 236: 134
Index 237: 13585
Index 238: 3396
Index 239: 2305
Index 240: 9964
Index 241: 2477
Index 242: 1243
Index 243: 1
Index 244: 1141
Index 245: 5
Index 246: 19
Index 247: 7776
Index 248: 283
Index 249: 425
Index 250: 12571
Index 251: 1627
Index 252: 2379
Index 253: 3787
Index 254: 23897
Index 255: 11117
Index 256: 29
Index 257: 6994
Index 258: 238
Index 259: 41984
Index 260: 3554
Index 261: 4219
Index 262: 4054
Index 263: 16247
Index 264: 1037
Index 265: 2581
Index 266: 458
Index 267: 1
Index 268: 8716
Index 269: 0
Index 270: 1400
Index 271: 48
Index 272: 5992
Index 273: 222
Index 274: 55
Index 275: 0
Index 276: 868
Index 277: 2255
Index 278: 2636
Index 279: 74
Index 280: 18
Index 281: 230
Index 282: 846
Index 283: 8743
Index 284: 742
Index 285: 22
Index 286: 1612
Index 287: 306
Index 288: 232
Index 289: 4
Index 290: 2114
Index 291: 6538
Index 292: 205
Index 293: 214
Index 294: 583
Index 295: 7788
Index 296: 20891
Index 297: 692
Index 298: 0
Index 299: 4683
Index 300: 786
Index 301: 63
Index 302: 2646
Index 303: 127
Index 304: 2437
Index 305: 23
Index 306: 601
Index 307: 440
Index 308: 6
Index 309: 750
Index 310: 27
Index 311: 958
Index 312: 641
Index 313: 2
Index 314: 3204
Index 315: 68
Index 316: 75
Index 317: 1105
Index 318: 2076
Index 319: 2614
Index 320: 105
Index 321: 4413
Index 322: 1237
Index 323: 246
Index 324: 0
Index 325: 66
Index 326: 74
Index 327: 5511
Index 328: 1047
Index 329: 2014
Index 330: 2756
Index 331: 1073
Index 332: 1774
Index 333: 2833
Index 334: 25
Index 335: 3050
Index 336: 473
Index 337: 1284
Index 338: 1
Index 339: 20409
Index 340: 7442
Index 341: 16
Index 342: 195
Index 343: 89
Index 344: 610
Index 345: 79
Index 346: 622
Index 347: 36
Index 348: 2137
Index 349: 2119
Index 350: 1426
Index 351: 1106
Index 352: 4332
Index 353: 98
Index 354: 94
Index 355: 994
Index 356: 14
Index 357: 606
Index 358: 3498
Index 359: 112
Index 360: 427
Index 361: 5968
Index 362: 5481
Index 363: 0
Index 364: 166
Index 365: 0
Index 366: 26141
Index 367: 61
Index 368: 3537
Index 369: 468
Index 370: 444
Index 371: 838
Index 372: 1050
Index 373: 7
Index 374: 820
Index 375: 6
Index 376: 6
Index 377: 0
Index 378: 5661
Index 379: 1538
Index 380: 996
Index 381: 821
Index 382: 175
Index 383: 421
Index 384: 5961
Index 385: 930
Index 386: 1266
Index 387: 3413
Index 388: 8757
Index 389: 3555
Index 390: 471
Index 391: 48
Index 392: 2147
Index 393: 78
Index 394: 286
Index 395: 36
Index 396: 0
Index 397: 245
Index 398: 1
Index 399: 2265
Index 400: 0
Index 401: 2
Index 402: 1826
Index 403: 1657
Index 404: 611
Index 405: 2495
Index 406: 1
Index 407: 10346
Index 408: 1213
Index 409: 3
Index 410: 4212
Index 411: 4562
Index 412: 4426
Index 413: 93893
Index 414: 558
Index 415: 1283
Index 416: 131
Index 417: 771
Index 418: 2769
Index 419: 31
Index 420: 579
Index 421: 189
Index 422: 2645
Index 423: 542
Index 424: 410
Index 425: 276
Index 426: 265
Index 427: 769
Index 428: 3410
Index 429: 3221
Index 430: 605
Index 431: 0
Index 432: 212
Index 433: 2908
Index 434: 105
Index 435: 2276
Index 436: 1362
Index 437: 17361
Index 438: 72
Index 439: 2024
Index 440: 16560
Index 441: 350
Index 442: 668
Index 443: 2494
Index 444: 794
Index 445: 5
Index 446: 2540
Index 447: 13
Index 448: 108
Index 449: 31
Index 450: 2566
Index 451: 196
Index 452: 976
Index 453: 3
Index 454: 4893
Index 455: 2913
Index 456: 952
Index 457: 7640
Index 458: 411
Index 459: 9822
Index 460: 392
Index 461: 2577
Index 462: 1584
Index 463: 401
Index 464: 378692
Index 465: 1506
Index 466: 4105
Index 467: 393
Index 468: 2725
Index 469: 106
Index 470: 2166
Index 471: 117
Index 472: 4208
Index 473: 2812
Index 474: 3314
Index 475: 2
Index 476: 1183
Index 477: 2211
