Codebook Index Counts:
----------------------
Index 0: 16
Index 1: 141
Index 2: 62
Index 4: 10557
Index 5: 5514
Index 6: 4604
Index 7: 187
Index 8: 292
Index 9: 1013
Index 10: 553
Index 12: 36112
Index 13: 17668
Index 14: 121
Index 15: 2208
Index 16: 4462
Index 17: 474
Index 18: 21047
Index 19: 2236
Index 20: 2837
Index 21: 148
Index 22: 273
Index 23: 6230
Index 24: 995
Index 25: 4438
Index 26: 5
Index 27: 6697
Index 29: 2307
Index 30: 50436
Index 31: 168
Index 32: 5
Index 33: 125
Index 34: 9112
Index 35: 43986
Index 36: 8619
Index 37: 22339
Index 38: 673
Index 39: 49
Index 40: 1183
Index 41: 42
Index 43: 52
Index 45: 6721
Index 46: 3819
Index 47: 3
Index 48: 33
Index 49: 34
Index 50: 453
Index 51: 3305
Index 53: 1628
Index 54: 1329
Index 55: 88
Index 56: 4542
Index 57: 147
Index 59: 5073
Index 60: 2
Index 62: 168
Index 63: 5339
Index 65: 242
Index 66: 7164
Index 67: 26981
Index 68: 942
Index 69: 687
Index 70: 4466
Index 71: 145
Index 72: 1462
Index 73: 1015
Index 74: 6437
Index 75: 8356
Index 76: 1271
Index 77: 5511
Index 78: 5238
Index 79: 2052
Index 80: 845
Index 81: 2839
Index 83: 59158
Index 84: 5356
Index 85: 540
Index 86: 12190
Index 87: 257
Index 88: 2478
Index 89: 14036
Index 90: 5056
Index 91: 1109
Index 92: 251
Index 93: 4875
Index 94: 3007
Index 95: 1509
Index 96: 24683
Index 97: 358
Index 98: 38855
Index 99: 4522
Index 100: 160
Index 101: 7974
Index 103: 3732
Index 104: 4579
Index 105: 1431
Index 106: 1399
Index 107: 8942
Index 108: 532
Index 109: 6874
Index 110: 75
Index 111: 535
Index 112: 352
Index 113: 1883
Index 114: 2809
Index 115: 350
Index 116: 14569
Index 117: 6464
Index 118: 16
Index 119: 13943
Index 120: 1435
Index 121: 2932
Index 122: 390
Index 123: 2789
Index 124: 1400
Index 125: 9563
Index 126: 21350
Index 127: 519
Index 128: 9929
Index 129: 104
Index 130: 487
Index 131: 40
Index 132: 9592
Index 133: 2
Index 134: 154
Index 135: 1
Index 136: 3924
Index 137: 26519
Index 138: 770
Index 139: 231
Index 140: 23016
Index 141: 15049
Index 142: 32299
Index 143: 236
Index 144: 2
Index 145: 116
Index 146: 31
Index 147: 1895
Index 149: 4361
Index 151: 489
Index 152: 8893
Index 153: 157
Index 154: 147
Index 155: 288
Index 156: 2881
Index 157: 3483
Index 158: 11281
Index 159: 581
Index 161: 6197
Index 162: 3536
Index 163: 34435
Index 164: 176
Index 165: 13744
Index 166: 6024
Index 168: 955
Index 170: 507
Index 171: 1270
Index 172: 19759
Index 173: 277
Index 174: 13114
Index 175: 335
Index 176: 1565
Index 177: 2811
Index 178: 354
Index 179: 754
Index 180: 151
Index 181: 573
Index 182: 14626
Index 183: 147
Index 184: 26726
Index 185: 1074
Index 186: 16
Index 187: 3227
Index 188: 962
Index 189: 713
Index 190: 155
Index 191: 3
Index 192: 924
Index 193: 3276
Index 195: 1561
Index 196: 4
Index 199: 71
Index 200: 855
Index 201: 14212
Index 202: 27547
Index 203: 5837
Index 205: 10112
Index 206: 10218
Index 207: 20
Index 208: 3391
Index 209: 1321
Index 210: 3711
Index 212: 67
Index 213: 922
Index 214: 802
Index 215: 818
Index 216: 2371
Index 217: 64407
Index 218: 48636
Index 219: 13481
Index 220: 1
Index 221: 415
Index 222: 457
Index 224: 4683
Index 225: 7844
Index 226: 444
Index 227: 127
Index 228: 1
Index 229: 33
Index 230: 906
Index 231: 5897
Index 232: 4718
Index 233: 146
