Codebook Index Counts:
----------------------
Index 0: 33
Index 1: 283
Index 2: 36
Index 3: 7
Index 4: 14903
Index 5: 2948
Index 6: 2306
Index 7: 345
Index 8: 469
Index 9: 862
Index 10: 1090
Index 12: 46138
Index 13: 13711
Index 14: 103
Index 15: 2886
Index 16: 6013
Index 17: 399
Index 18: 6249
Index 19: 580
Index 20: 2759
Index 21: 266
Index 22: 79
Index 23: 1731
Index 24: 2292
Index 25: 3063
Index 27: 1876
Index 29: 2063
Index 30: 22801
Index 31: 104
Index 32: 11
Index 33: 75
Index 34: 6465
Index 35: 15420
Index 36: 11015
Index 37: 6349
Index 38: 484
Index 39: 21
Index 40: 619
Index 41: 63
Index 42: 21
Index 43: 25
Index 45: 6174
Index 46: 1269
Index 48: 19
Index 49: 20
Index 50: 224
Index 51: 4361
Index 53: 440
Index 54: 345
Index 55: 190
Index 56: 4243
Index 57: 44
Index 59: 1687
Index 60: 2
Index 62: 148
Index 63: 8054
Index 65: 111
Index 66: 1960
Index 67: 26081
Index 68: 329
Index 69: 1543
Index 70: 4080
Index 71: 61
Index 72: 1493
Index 73: 1196
Index 74: 1754
Index 75: 5384
Index 76: 848
Index 77: 2609
Index 78: 2288
Index 79: 1100
Index 80: 327
Index 81: 2001
Index 83: 49383
Index 84: 7192
Index 85: 307
Index 86: 17468
Index 87: 238
Index 88: 2665
Index 89: 13576
Index 90: 4400
Index 91: 1281
Index 92: 199
Index 93: 3479
Index 94: 1826
Index 95: 974
Index 96: 13766
Index 97: 129
Index 98: 14867
Index 99: 3141
Index 100: 136
Index 101: 10618
Index 102: 1
Index 103: 1520
Index 104: 5355
Index 105: 408
Index 106: 541
Index 107: 3956
Index 108: 540
Index 109: 1881
Index 110: 42
Index 111: 590
Index 112: 191
Index 113: 1432
Index 114: 2109
Index 115: 225
Index 116: 7240
Index 117: 1997
Index 118: 37
Index 119: 16873
Index 120: 589
Index 121: 2472
Index 122: 345
Index 123: 2305
Index 124: 629
Index 125: 12128
Index 126: 16185
Index 127: 265
Index 128: 3947
Index 129: 101
Index 130: 521
Index 131: 37
Index 132: 7360
Index 133: 3
Index 134: 147
Index 135: 5
Index 136: 3125
Index 137: 16779
Index 138: 385
Index 139: 89
Index 140: 8144
Index 141: 10871
Index 142: 15425
Index 143: 547
Index 144: 4
Index 145: 304
Index 146: 19
Index 147: 599
Index 149: 3797
Index 150: 3
Index 151: 309
Index 152: 6424
Index 153: 64
Index 154: 183
Index 155: 323
Index 156: 2865
Index 157: 5596
Index 158: 7666
Index 159: 291
Index 161: 3907
Index 162: 5232
Index 163: 12886
Index 164: 51
Index 165: 5306
Index 166: 7186
Index 168: 574
Index 169: 1
Index 170: 155
Index 171: 1762
Index 172: 13395
Index 173: 124
Index 174: 14293
Index 175: 272
Index 176: 2021
Index 177: 4499
Index 178: 465
Index 179: 303
Index 180: 118
Index 181: 139
Index 182: 7023
Index 183: 76
Index 184: 22984
Index 185: 1267
Index 186: 12
Index 187: 1532
Index 188: 345
Index 189: 562
Index 190: 46
Index 191: 13
Index 192: 773
Index 193: 1280
Index 194: 1
Index 195: 558
Index 196: 8
Index 199: 90
Index 200: 1837
Index 201: 16848
Index 202: 27468
Index 203: 4698
Index 205: 4405
Index 206: 6053
Index 207: 10
Index 208: 2669
Index 209: 1112
Index 210: 908
Index 211: 36
Index 212: 37
Index 213: 969
Index 214: 314
Index 215: 698
Index 216: 2574
Index 217: 42590
Index 218: 21677
Index 219: 10347
Index 221: 1072
Index 222: 289
Index 224: 3282
Index 225: 10044
Index 226: 391
Index 227: 200
Index 228: 8
Index 229: 106
Index 230: 559
Index 231: 2920
Index 232: 2101
Index 233: 121
Index 234: 5713
Index 235: 9519
Index 236: 30
Index 237: 9864
Index 238: 1477
Index 239: 2341
Index 240: 13423
Index 241: 1337
Index 242: 1013
Index 244: 490
Index 246: 81
Index 247: 2487
Index 248: 361
Index 249: 786
Index 250: 8684
Index 251: 1730
Index 252: 6221
Index 253: 6032
Index 254: 15275
Index 255: 12602
Index 256: 6
Index 257: 15083
Index 258: 232
Index 259: 29517
Index 260: 6482
Index 261: 4086
Index 262: 5078
Index 263: 31532
Index 264: 1240
Index 265: 6455
Index 266: 239
Index 268: 9047
Index 270: 1808
Index 271: 21
Index 272: 6932
Index 273: 25
Index 274: 10
Index 276: 551
Index 277: 4170
Index 278: 4135
Index 279: 15
Index 280: 4
Index 281: 153
Index 282: 1742
Index 283: 13345
Index 284: 607
Index 285: 12
Index 286: 824
Index 287: 171
Index 288: 123
Index 289: 16
Index 290: 657
Index 291: 8321
Index 292: 46
Index 293: 173
Index 294: 509
Index 295: 9732
